sign;category;date;horoscope
aquarius;love;20200616;You may feel a great deal of oneness with someone, under the influence of today's celestial energy. Whatever else you may have felt between you recently, a certain conversation that you hold today will convince you that you are absolutely right for each other, and that your paths and destiny are irresistibly entwined. Expect to feel a great deal of emotion as you become aware of this.
aries;love;20200616;Love is deeply private and very passionate today, with the current planetary configuration. Even if everyone knows of your relationship with a certain person, they certainly do not realize how deeply in love you actually are, and perhaps you do not either until an event that occurs today makes you realize exactly what is going on. You may choose to keep this a secret a while longer.
cancer;love;20200616;Today's astral alignment may make the day seem rather emotional, and you could begin to feel vulnerable by the end of it. This is no bad thing, except that you dislike feeling at such a disadvantage. If you could see that this is a blessing rather than a problem, you would not be so worried about it. Your partner now knows you are completely human after all.
capricorn;love;20200616;The current planetary energy encourages you to consider what your motives are for wanting to get involved in one particular relationship. If you search your heart and think that you may get something quite specific out of it, then you may actually be taking the wrong attitude. Perhaps it may be more pertinent to ask yourself what it is that you have to give - then make a decision.
gemini;love;20200616;Partnership affairs are very strongly highlighted, with the current planetary energy. If you have been putting any idea of another relationship on hold, then you may find that the events of today change your mind quite significantly. One person seems to have the power to melt your heart, which may have become hardened as a protection against pain and hurt. You may decide it is worth the risk.
leo;love;20200616;You can let your emotions flow freely with today's astral energy. If you have felt like holding back from letting your latest lover know how you are deep inside, you will not be able to any longer. And it is probably not a good idea to continue pretending any longer. It is safe to say what you need to say, and your lover really aches to hear this.
libra;love;20200616;You discover a great sense of belonging, with today's celestial energy. You may have been in the process of developing ties of affection between you, but somehow you both see something in each other that really clicks, and experience the feeling of finally being where you should be, after a long time of searching. You both know that whatever happens, you are in it for the long haul.
pisces;love;20200616;Today's aspect at play makes you very much aware of what you have been feeling on a much subtler level for some time. A career move or perhaps a new business connection may yield far more than a new offer or deal. You could get well get more than you bargained for when someone seems irresistibly attractive to you. The stage has been set - now the drama will run.
sagittarius;love;20200616;You feel great and full of charisma and magic, due to the current planetary alignment, which brings a special blend of romance in your life. If you are talking to someone for the first time, then you can expect to hit it off right away. You will feel relaxed and able to talk from your heart about anything, which is a blessing that should not be taken lightly.
scorpio;love;20200616;The current astral configuration implies that you have a chance to develop a relationship that is based on spiritual ideas and attitudes, rather than the more ego-based principles that usually dominate peoples’ lives together. You may have wanted a partnership in which you felt that you were literally growing with another person, so take the opportunity whilst you can, as you are now ready for the challenge.
taurus;love;20200616;Today's celestial energy brings you one understanding that may have been hidden beneath the thoughts and general business of your daily life. It concerns your relationship with someone and the depth of feeling between you. You may not have paid much attention to what has been really going on, having so much to attend to. You become aware of hidden possibilities today, which could enrich your life.
virgo;love;20200616;The current aspect at play brings you into closer alignment with all your secret and hidden thoughts. It may also bring you a lot closer to the person of your dreams. Whether you are planning on doing something special, or if you are just going about your daily business, be prepared to have your heart melt. You will find that you can't help falling in love.
aquarius;love;20200617;Today's celestial energy may muddle your schedule and cause you to lose your personal organizer or diary. If you are able to go out on a date, then make sure that you do know exactly where you are going and at what time you are supposed to be there. You may need to remind your date as well, in case they have the details wrong.
aries;love;20200617;Today's astral configuration may not be quite what you needed, especially when you thought that you had just gotten everything sorted out concerning one particular relationship. However, you can prevent too much confusion setting in as long as you stick to the truth, and don't waver from what your heart is telling you to do. If you start trying to cover your trail, things will get very muddled.
cancer;love;20200617;Your issues may be getting mixed up with your partner's issues, as you both try to determine what you should do about the state of your relationship. The current astral energy acts like a fog or a mist, and makes it difficult to separate fact from fiction, or the truth from imagination. The discussion may be more fruitful tomorrow when you will have a much clearer head.
capricorn;love;20200617;Partners may seem to be more confused than usual, especially under the influence of current planetary energies. They may retract promises that they swore were forever, or perhaps make a deal that they secretly know that they will not be able to keep. Don't take too much notice of what is said or not said, as tomorrow it will all have been forgotten anyway. Be patient instead.
gemini;love;20200617;The current aspect could be a liberating influence as far as your feelings are concerned. If you have been rigidly maintaining a particular stance or outlook in order to make sure that one relationship doesn't get out of hand, then you could actually be subconsciously making things worse. It may be best to let go and allow your heart to melt. This may be better than you imagine.
leo;love;20200617;"The current aspect may make you more open to someone's influence then you would actually like to be. You may have unsuccessfully been trying to fend off their unwanted advances, and have been dismayed when they don't seem to even notice. However, take heart; they will get the message, even if not today. They are fascinated by something mysterious within you and think you can make them happy."
libra;love;20200617;The current planetary energy brings with it the chance to fantasize and romanticize to your heart's content. If you have a permanent partner, then you may feel like spending time trying some of your favorite ideas out - just for fun. If you are looking for a relationship in which you can have some fun, then you will need to act subtle and mysterious. Go for it!
pisces;love;20200617;There is the potential for a great deal of romance, especially with the current astral energy. Yet there is also the possibility for a great deal of confusion. You may not be totally sure of your standing as far one particular person is concerned, but if you try to make sense of all the impressions that come at you today, you won't be any the wiser.
