sign;category;date;horoscope
aquarius;wellness;20200616;The current planetary configuration recalls goals you set in the distant past. Whatever you want to achieve in terms of your well-being is going to be more apparent to you. Now you can access what your true wishes are: do you want to have more strength? Do you wish to sleep better? Do you want to be more energized but consume less caffeine? Whatever your desires are, get clear about them today in order to have a better chance of acting on them.
aries;wellness;20200616;"There is powerful insight available; you just need to know where to look. Sometimes it's essential to feel terrible and then understand why you feel that way. Don't try to shrug off your feelings today; it will be nearly impossible, and you will miss some valuable information. The stomach area is sensitive during times of stress. While you have a cup of Chamomile tea to soothe your digestive tract, pick the seeds out of a pomegranate and ask yourself what you're looking for."
cancer;wellness;20200616;You may have learned ways to ignore your need for balance - putting your finger on these will be part of the challenge in creating a structure that gives you more of it. Have you considered what foods make you feel light yet satisfied, energized and happy? We all have specific foods that work best in our system, but too few of us are conscientious enough to notice what they are. Today's planetary configuration encourages you to examine your personal habits.
capricorn;wellness;20200616;Today's pleasant aspect concerns all things romantic. You will be especially able to use your intuitive powers to sense the right time to make your feelings known, and your body in a way that feels pleasing to you and to others. This could be your facial expressions, physical affection, or perhaps giving those who need it their space. To enhance this harmonious aspect, treat yourself to something that relaxes both body and mind: a massage, a sauna or a walk in the woods.
gemini;wellness;20200616;Creating your list of healthful practices may mark a turning point in your life! Here are some items that are probably on your list: drinking plenty of water, getting adequate rest, eating fruits and vegetables, and undertaking daily exercise of some kind. Once you begin to identify for yourself the practices you want and need in your life, you will be better able to find opportunities to fulfill them. It's important you think of things that appeal to you on some level, rather than listen to your friends. Your health is a personal matter.
leo;wellness;20200616;The day's planetary energy can be of great benefit to you. The aspect at play asks you what you need to feel good and helps you by highlighting the areas in life that matter to your health. The planets do not lie. They may make you see the world through rose-colored glasses at times, but they can also give you the facts of the matter in easy to understand terms. For instance: diet and exercise? Water as an element of life?
libra;wellness;20200616;With today's astral configuration, you have a hand in bringing the focus to yourself. It's time to consider the path that you've taken over the past year. What has helped you get your body's needs met? Remember the days that you were good to yourself. They included fresh, delicious food, healthy exercise, and an overall relaxed feeling with no pressure to be or do anything different. Think about increasing the number of these days over the next month.
pisces;wellness;20200616;The more information you have about the food you put into your body, the better your decisions will be, and the better you will feel overall! Find out what is important to you about the food you eat - beyond taste! Are there agricultural communities in your area? If so, be aware of what they produce and how they do it. Knowledge about food and how it is grown becomes more and more important and it will change the way you eat, the supplements you decide to take, and generally enhance your awareness about what your body needs.
sagittarius;wellness;20200616;An excellent planetary aspect is occurring that elevates your emotional world to the height of the mountaintop. Looking at your emotions with perspective is a healthy practice that bolsters self-confidence. Consciously creating this perspective on a regular basis is the goal of yoga. Finding the right yoga discipline and routine might be your goal this season. The lymphatic system that controls our immune system is also greatly helped by yoga.
scorpio;wellness;20200616;You have a strong tendency to seek out the truth, and the intensity of this quest can often be wearing on the soul. It is important to alleviate your anxiety, even if you don't recognize it on a conscious level. Deep relaxation ought to be a regular part of your health regimen. Massage, steam bath and sauna are ancient practices designed to relax the body and allow fresh perspectives to invigorate the soul. What have you done for yourself lately in this regard?
taurus;wellness;20200616;You care about your appearance, and there is certainly nothing unhealthy about that! What we do for ourselves largely begins with caring about how we look. One of the greatest appearance enhancers is adequate rest. Are you a rested person? Rest is easier to come by if you have exercised during the day - and a little goes a long way. Our lifetime habits determine how we look in the long run. A diet or a new suit is just a drop in the bucket.
