ID,sign,category,date,horoscope,horoscope_cleaned
1,aries,general,20200617,"There's a great day ahead of you, Aries. You'll be blessed with the ability to solve problems, and others will come looking for you today. You'll listen, understand, and express empathy. You'll be wise enough to find solutions to any issues they present to you. After a day like this, you might ask yourself if you shouldn't work as a therapist.",there's great ahead aries you'll blessed ability solve problems come looking you'll listen understand express empathy you'll wise enough solutions any issues present after ask shouldn't therapist
2,aries,general,20200618,"People will understand and appreciate your desire to stand out from the crowd today, Aries. This isn't a sign of arrogance on your part. It's just that you're particularly perceptive right now and people need your good advice. Since you're ready to step into the spotlight and shine like the stars that are giving you all this wonderful energy, go for it. You'd kick yourself if you let this opportunity pass.",understand appreciate desire stand crowd aries isn't sign arrogance part you're particularly perceptive right advice since you're ready step spotlight shine stars giving wonderful you'd kick let opportunity pass
3,aries,general,20200619,"You are very interested in technological breakthroughs and innovation, Aries, especially if it has some benefit for individuals. Since you also concern yourself with social issues and subjects like psychology and spiritual therapies, you realize the importance of progress in these areas for the future. You also wonder where you fit in.",interested technological breakthroughs innovation aries especially has benefit individuals since also concern social issues subjects psychology spiritual therapies realize importance progress these areas future also wonder where fit
4,aries,general,20200620,"Stress from overwork could have you feeling weaker than usual. You might be tempted to stay at home, get some rest, and recoup your energies. Do this if you can, Aries. Otherwise, you may not be able to give your project the concentration it needs, and therefore may not accomplish as much as you think you should. If you feel you can't stay home, try to work alone so you won't be distracted.",stress overwork feeling weaker usual tempted stay home rest recoup energies aries otherwise able give project concentration needs therefore accomplish think should can't stay home alone won't distracted
5,aries,general,20200621,"This is a good day to stand up for yourself and make it known that you aren't a pushover, Aries. Use the powerful energy of the day to follow through on projects that may have lost momentum. Pick up the reins and take control of the direction of your life. Feel free to be more aggressive than you normally would. Show others your incredible worth.",stand known aren't pushover aries use powerful follow through projects lost momentum pick reins control direction free aggressive normally would show incredible worth
6,aries,general,20200622,"The planets align to make this a great day for you, Aries. You should find that your mood is excellent and your mind focused. Romance will thrive in the nice, stabilizing atmosphere, and you should feel free to take center stage. If you've been suffering from any doubts lately, now is the time to take control of the situation and go for it.",planets align great aries should mood excellent mind focused romance thrive nice stabilizing atmosphere should free center stage you've suffering any doubts lately control situation
7,aries,general,20200623,"This is a good day to add spark to your life, Aries. If things have seemed boring and stagnating lately, you may need to infuse a bit of excitement into the situation. Add flair and dynamism to the mix. Take matters into your own hands and actively pursue your goals. You have a strong inner sense of where you need to go. Trust your instincts and move in that direction. Don't hesitate.",add spark aries seemed boring lately infuse bit excitement situation add flair dynamism mix matters own hands actively pursue goals strong inner sense where trust instincts move direction hesitate
8,aries,general,20200624,"Success on all levels is filling your life and making you feel absolutely wonderful, Aries. The downside of this is that you might be a little too conscientious. Are you putting in a lot of extra hours? Be discriminating about this. Don't work harder than you need to. You could stress yourself out to the point where you tax your strength too much. That won't get you anywhere. Pace yourself.",success levels filling making absolutely wonderful aries downside little too conscientious putting lot extra hours discriminating harder stress point where tax strength too won't anywhere pace
9,aries,general,20200625,"You've been doing well, Aries, but today you might be feeling more focused than ever. The path ahead seems clear and well defined. You're looking forward to the future with motivation and anticipation. You might be considering a travel adventure or perhaps going back to school for an advanced degree. Today is a good day to start doing some research and finalizing your plans. Go to it.",you've doing well aries feeling focused ever path ahead seems clear well defined you're looking forward future motivation anticipation considering travel adventure perhaps going back school advanced degree start doing research finalizing plans
10,aries,general,20200626,"You probably crave solitude, Aries. Even though you may have committed to doing something for a friend or relative, now you find the idea irritating. You could have some tasks of your own that you'd rather work on, or you might simply want to go for a workout and burn off some tension. The latter idea is a good one. Perhaps if you exercise early, you'll feel more like fulfilling your obligations.",probably crave solitude aries even though committed doing friend relative idea irritating tasks own you'd rather simply workout burn off tension latter idea perhaps exercise early you'll fulfilling obligations
