ID,sign,category,date,horoscope
18,aries,general,20200704,"You may have found yourself having some issues with food lately, Aries. It could be that your sense of self-worth isn't at its highest and you're trying to make up for it by sabotaging your relationship with your body. Food is healthy nourishment that you need to survive. Your body deserves respect. You need to always give it the proper fuel that it requires to be healthy."
22,aries,general,20200708,"You'll find little comfort in your emotions today, Aries. You may want to simply stick to business. Concentrate on getting things done in your regular routine. Create a plan and stick to it. This isn't a day to deviate from the norm, nor is it a time in which you'll find sympathy from others. Stick close to home and take care of your personal business. Time is precious - don't waste it."
51,aries,general,20200806,"Your mind is buzzing like a bee, Aries. You're apt to find that there's very little you can do to slow it down. Make sure you add compassion to the chain that's holding everything together. Also make sure that you don't become a victim of your thoughts by losing control over how you act simply because the voice in your head has completely taken over."
63,aries,general,20200818,"This is an excellent day to express your natural creativity, Aries. The arts will more than likely be very important to you. You may find that nothing brings you more pleasure on days like this. Consider putting this to good use by painting, sculpting, or doing crafts. You'll find the perfect thing for you is engaging in art activities with a focus on giving."
72,aries,general,20200827,"All things domestic are highlighted, Aries. It could be that you've finally called the plumber or set out to do those household repairs yourself. New people are likely to come into your life. In fact, they may try to finagle an invitation for dinner, if possible. All you can expect today is the unexpected. Have some extra food on hand and see what happens."
88,aries,general,20200912,"Stress could have you feeling uncommunicative today. You probably aren't going to want to talk to anyone, even your dearest friend, Aries. This might prove difficult, as people around you are going to ask for advice and help. Keep your cool. This feeling will pass, and you won't want anyone to think you're upset. Go to lunch alone, and tonight crash into bed with a good book."
98,aries,general,20200922,"The time is right to pursue training for a particular skill or finish a degree in a field of interest to you, Aries. Presently, great success and good fortune are indicated when you assert your considerable energy and focus on the subject matter. If you've been considering honing your communication skills, consider a writing course. Perhaps you want to organize a long-desired trip."
107,aries,general,20201001,"Exciting news could come to you today that could bring a lot of joy into your life, Aries. Your income may soon skyrocket, and more opportunities to advance yourself professionally should start coming thick and fast. You may even receive some sort of public acknowledgment. This isn't the end of the line, however - this is only the beginning! You will be glad to know you can expect this trend to continue for some time."
109,aries,general,20201003,"Don't get so stuck in your ways today that you insist on having the one true answer without really considering the options. You must be aware of a lot before you commit yourself one way or another. The people around you are apt to get annoyed with your narrow-mindedness, for this is how you will be viewed unless you stop and take a considered look at the whole picture."
119,aries,general,20201013,"Career and financial success might have paved the way for you to fulfill some of your fondest dreams, Aries. Perhaps you've wanted to return to college and get an advanced degree, explore new cultures or try writing and publishing. Whatever it is, your schedule should be freer and more flexible than ever, so this is the time to go for it. Start planning today!"
121,aries,general,20201015,"A friend could tell you about an exciting new person for whom you feel a very powerful physical attraction when you see their picture, Aries. Your first conversation could prove exciting but stay calm and remain objective. If your feelings are too obvious, he or she could well lose interest before anything has time to develop! Just be yourself, enjoy the discussion, and have fun. That's all you need do at this point."
124,aries,general,20201018,"You might want to escape the frenzy of the day by going shopping, Aries. Align yourself with partners and allies who share your views. Try to keep the disagreements to a minimum. There is enough tension and war raging in the world around you today that you don't need to add to the negative force by contributing disputes and ailments to the situation."
145,aries,general,20201108,"For the past several days, Aries, you've been fairly lucky in financial and material terms. But the day ahead will be an exception. If you're planning to make an investment, sign a contract, or purchase a major item, postpone it until another day. You may as well resign yourself to this fate and be grateful that you were spared the chance to make a mistake!"
146,aries,general,20201109,"Obviously, you have an important role to play, Aries. The mood today may be somewhat frustrating, but the way you handle it will earn you rewards and recognition in your workplace or at school. Your strength, self-control, and stability made the difference between success and failure. You can and should be proud of yourself."
159,aries,general,20201122,"Are you tired, Aries? It's no wonder. You're so eager to be useful that you've run yourself ragged over the past few weeks. As you may have noticed, the world is so apathetic now that every movement requires enormous effort on your part. Why not settle down and rest today? That would be the wisest and most reasonable thing to do. You will still be needed tomorrow."
175,aries,general,20201208,"You might wake up feeling a little under the weather, perhaps too tired to go anywhere, and you'll want to stay in. Perhaps this is the best course of action for today. You may be tired and a bit stressed out, Aries, and more vulnerable than usual to any bugs may be going around at this time. Drink lots of juices and get some rest. Tomorrow you will probably feel much better."
204,aries,general,20210106,"Close relationships should grow closer today, and new relationships become close ones. You're likely to feel extremely warm and loving toward most of the people you know, and they should reciprocate that feeling. Romantic relationships, especially, could grow more intimate and physical. You like the way you feel, Aries, but want to express it outwardly through gifts or intimacy."
215,aries,general,20210117,"Your practical skills should be operating efficiently, Aries. A creative or intellectual discipline that fascinates you might require some intense concentration today. You could spend much of the day in the library. You will want to take meticulous notes, but don't worry about it if you don't quite catch everything. Your memory should be sharp right now."
262,aries,general,20210305,"Chances to pursue opportunities to bring whatever creative work you do best to the public could come up today, Aries. This might involve performances, exhibitions, trade shows, or festivals - anything that involves a lot of attention from the public. You will be in the limelight and outshine almost everyone! This is likely to be a lot of fun. It should definitely boost your ego."
266,aries,general,20210309,"Your gracious, tender nature is likely to be extremely appreciated today, Aries. You may feel as if your head is so far up in the clouds that you can't get anything done. The truth of the matter is that the work you need to do is actually found up in those clouds. Trust that you've taken care of the foundation. The thing you need to do now is relax and let your fantasies lead the way."
272,aries,general,20210315,"A letter, call, or visit from a lover or close friend is likely to bring interesting news your way. Your creative energies are at their peak, Aries, so why not try writing, music, drawing, or painting? You will have to squeeze this creativity in between many errands, because the planets indicate you will take many short trips today."
