k,itemset,support
1,"(9624,)",0.0267
1,"(4209,)",0.0886
1,"(299,)",0.0253
1,"(10788,)",0.0348
1,"(37,)",0.0239
1,"(7255,)",0.0117
1,"(1730,)",0.083
1,"(5606,)",0.0305
1,"(5541,)",0.0214
1,"(10065,)",0.0246
1,"(3429,)",0.0172
1,"(3154,)",0.0252
1,"(475,)",0.088
1,"(5160,)",0.0316
1,"(7185,)",0.0236
1,"(265,)",0.0196
1,"(611,)",0.0305
1,"(522,)",0.0109
1,"(2477,)",0.0152
1,"(9026,)",0.0163
1,"(5155,)",0.0276
1,"(6713,)",0.0263
1,"(10789,)",0.0974
1,"(6722,)",0.0159
1,"(8077,)",0.0935
1,"(231,)",0.012
1,"(8660,)",0.0113
1,"(7578,)",0.0172
1,"(9082,)",0.0252
1,"(4105,)",0.0194
1,"(10683,)",0.0429
1,"(5450,)",0.0731
1,"(6483,)",0.042
1,"(3241,)",0.063
1,"(4367,)",0.0713
1,"(919,)",0.0317
1,"(370,)",0.0709
1,"(8807,)",0.0172
1,"(8949,)",0.0115
1,"(7588,)",0.0277
1,"(7300,)",0.0121
1,"(9629,)",0.0731
1,"(4013,)",0.0309
1,"(10561,)",0.0511
1,"(9174,)",0.0129
1,"(3601,)",0.0878
1,"(10253,)",0.0335
1,"(9059,)",0.0439
1,"(4548,)",0.0361
1,"(7972,)",0.0335
1,"(3116,)",0.0153
1,"(39,)",0.0527
1,"(4101,)",0.0904
1,"(7305,)",0.0168
1,"(6211,)",0.0507
1,"(90,)",0.0155
1,"(9638,)",0.0683
1,"(8588,)",0.0679
1,"(1322,)",0.027
1,"(363,)",0.0209
1,"(10680,)",0.0321
1,"(550,)",0.0305
1,"(10246,)",0.0573
1,"(7125,)",0.0157
1,"(3816,)",0.0172
1,"(9684,)",0.074
1,"(7307,)",0.0157
1,"(6913,)",0.01
1,"(2011,)",0.0179
1,"(2601,)",0.0134
1,"(3923,)",0.0183
1,"(6300,)",0.0117
1,"(10738,)",0.0709
1,"(8597,)",0.0165
1,"(10735,)",0.0125
1,"(6980,)",0.0292
1,"(6066,)",0.0251
1,"(5944,)",0.0866
1,"(3806,)",0.0128
1,"(8129,)",0.0286
1,"(665,)",0.0282
1,"(10790,)",0.0489
1,"(5367,)",0.0144
1,"(8675,)",0.0563
1,"(970,)",0.0415
1,"(5806,)",0.0221
1,"(6645,)",0.0702
1,"(4142,)",0.0244
1,"(9200,)",0.0376
1,"(4928,)",0.0209
1,"(8440,)",0.0552
1,"(9938,)",0.0188
1,"(6110,)",0.0355
1,"(9266,)",0.0219
1,"(5719,)",0.0483
1,"(5551,)",0.0756
1,"(9777,)",0.0877
1,"(5629,)",0.052
1,"(3446,)",0.027
1,"(7044,)",0.031
1,"(9167,)",0.0136
1,"(2774,)",0.0553
1,"(10530,)",0.0782
1,"(3283,)",0.0159
1,"(6759,)",0.0157
1,"(8368,)",0.0338
1,"(1621,)",0.0252
1,"(3892,)",0.0184
1,"(6837,)",0.0656
1,"(4146,)",0.0834
1,"(758,)",0.0534
1,"(9044,)",0.0414
1,"(6984,)",0.0164
1,"(7250,)",0.0445
1,"(3274,)",0.094
1,"(9654,)",0.0317
1,"(3945,)",0.0317
1,"(4672,)",0.0285
1,"(9503,)",0.0108
1,"(7549,)",0.0442
1,"(8658,)",0.015
1,"(10709,)",0.0141
1,"(6411,)",0.0657
1,"(9582,)",0.0166
1,"(3346,)",0.0961
1,"(616,)",0.0557
1,"(6999,)",0.034
1,"(5414,)",0.0112
1,"(4310,)",0.0193
1,"(6975,)",0.0287
1,"(3058,)",0.0375
1,"(3983,)",0.0141
1,"(4422,)",0.0379
1,"(9475,)",0.0211
1,"(940,)",0.0408
1,"(9984,)",0.0278
1,"(4419,)",0.0111
1,"(6482,)",0.0143
1,"(4817,)",0.0138
1,"(2994,)",0.0191
1,"(2235,)",0.0908
1,"(5186,)",0.0253
1,"(5508,)",0.0758
1,"(2306,)",0.0411
1,"(3098,)",0.0239
1,"(4458,)",0.0848
1,"(9967,)",0.0264
1,"(9341,)",0.0548
1,"(3511,)",0.0108
1,"(5393,)",0.0186
1,"(4237,)",0.0102
1,"(2112,)",0.0135
1,"(6812,)",0.0151
1,"(7853,)",0.0326
1,"(1362,)",0.0274
1,"(8259,)",0.0356
1,"(10594,)",0.0774
1,"(136,)",0.0179
1,"(9652,)",0.0541
1,"(6198,)",0.0137
1,"(8902,)",0.0139
1,"(9274,)",0.0317
1,"(3025,)",0.0342
1,"(5622,)",0.0112
1,"(3395,)",0.0217
1,"(3056,)",0.0411
1,"(4953,)",0.0147
1,"(4385,)",0.0258
1,"(4342,)",0.0397
1,"(10568,)",0.0358
1,"(7129,)",0.0146
1,"(6456,)",0.0648
1,"(9612,)",0.0512
1,"(6312,)",0.0241
1,"(9617,)",0.082
1,"(10405,)",0.0125
1,"(938,)",0.0694
1,"(862,)",0.0313
1,"(10729,)",0.0204
1,"(4680,)",0.0423
1,"(3136,)",0.0563
1,"(7097,)",0.0546
1,"(684,)",0.0446
1,"(379,)",0.0256
1,"(894,)",0.0597
1,"(7487,)",0.0535
1,"(5827,)",0.0342
1,"(3603,)",0.0553
1,"(6277,)",0.0819
1,"(3828,)",0.021
1,"(5167,)",0.019
1,"(9947,)",0.0363
1,"(7806,)",0.0813
1,"(1042,)",0.0602
1,"(4416,)",0.0458
1,"(7955,)",0.0102
1,"(384,)",0.026
1,"(7585,)",0.0151
1,"(354,)",0.0162
1,"(4236,)",0.0123
1,"(10571,)",0.0587
1,"(2256,)",0.0202
1,"(145,)",0.0149
1,"(929,)",0.0779
1,"(8928,)",0.026
1,"(3948,)",0.045
1,"(2360,)",0.0271
1,"(7749,)",0.012
1,"(2857,)",0.0101
1,"(8624,)",0.0257
1,"(1355,)",0.0477
1,"(9609,)",0.0168
1,"(3680,)",0.0139
1,"(2769,)",0.0254
1,"(3839,)",0.0121
1,"(5261,)",0.0188
1,"(140,)",0.0129
1,"(4891,)",0.0274
1,"(2334,)",0.0128
1,"(6861,)",0.0806
1,"(10760,)",0.0135
1,"(7445,)",0.0531
1,"(9641,)",0.0336
1,"(9091,)",0.0159
1,"(1264,)",0.0129
1,"(1834,)",0.0115
1,"(4085,)",0.0546
1,"(2787,)",0.0326
1,"(7766,)",0.0194
1,"(8161,)",0.0229
1,"(2152,)",0.0233
1,"(10569,)",0.066
1,"(1651,)",0.0305
1,"(6864,)",0.0283
1,"(8471,)",0.0135
1,"(6266,)",0.0111
1,"(6570,)",0.0536
1,"(10191,)",0.0168
1,"(3989,)",0.0281
1,"(8357,)",0.0624
1,"(7124,)",0.026
1,"(6184,)",0.0278
1,"(10706,)",0.036
1,"(8230,)",0.0295
1,"(1177,)",0.045
1,"(1655,)",0.0133
1,"(4618,)",0.0387
1,"(8866,)",0.017
1,"(9637,)",0.0328
1,"(2563,)",0.0417
1,"(571,)",0.0783
1,"(8472,)",0.0153
1,"(5459,)",0.0228
1,"(4392,)",0.0248
1,"(6739,)",0.0154
1,"(4755,)",0.0791
1,"(3491,)",0.0128
1,"(1740,)",0.0196
1,"(10091,)",0.013
1,"(8742,)",0.0133
1,"(530,)",0.0292
1,"(1405,)",0.0157
1,"(9353,)",0.0151
1,"(3487,)",0.0191
1,"(5690,)",0.0146
1,"(2560,)",0.0314
1,"(3632,)",0.0428
1,"(6964,)",0.0312
1,"(7476,)",0.0133
1,"(7438,)",0.0118
1,"(5604,)",0.0502
1,"(2381,)",0.0117
1,"(3289,)",0.0396
1,"(5445,)",0.0138
1,"(10548,)",0.0172
1,"(10555,)",0.0401
1,"(1732,)",0.0375
1,"(1991,)",0.0168
1,"(858,)",0.0495
1,"(10696,)",0.024
1,"(6827,)",0.0168
1,"(865,)",0.0102
1,"(7022,)",0.0252
1,"(2946,)",0.0149
1,"(478,)",0.0121
1,"(6464,)",0.0393
1,"(1088,)",0.055
1,"(7747,)",0.0102
1,"(6437,)",0.0178
1,"(7560,)",0.0126
1,"(3284,)",0.033
1,"(8132,)",0.0362
1,"(5642,)",0.0337
1,"(6450,)",0.0146
1,"(4337,)",0.018
1,"(9888,)",0.0111
1,"(5310,)",0.0849
1,"(8849,)",0.0274
1,"(2816,)",0.0693
1,"(7469,)",0.0117
1,"(6254,)",0.0414
1,"(950,)",0.0276
1,"(617,)",0.0134
1,"(6052,)",0.0162
1,"(9616,)",0.0103
1,"(9570,)",0.0171
1,"(7808,)",0.0323
1,"(9463,)",0.0129
1,"(3096,)",0.0165
1,"(6147,)",0.0217
1,"(6725,)",0.0544
1,"(4210,)",0.0114
1,"(8525,)",0.024
1,"(9352,)",0.0113
1,"(8364,)",0.0477
1,"(2336,)",0.0141
1,"(7133,)",0.0161
1,"(10666,)",0.0269
1,"(364,)",0.0146
1,"(9278,)",0.0168
1,"(8190,)",0.017
1,"(9097,)",0.0215
1,"(1141,)",0.0249
1,"(6868,)",0.0196
1,"(2024,)",0.0266
1,"(5255,)",0.0763
1,"(9660,)",0.0225
1,"(4599,)",0.0116
1,"(6504,)",0.0471
1,"(10068,)",0.0153
1,"(689,)",0.0206
1,"(9805,)",0.0219
1,"(7631,)",0.0135
1,"(6084,)",0.0774
1,"(9957,)",0.01
1,"(1926,)",0.036
1,"(10464,)",0.0102
1,"(10780,)",0.0261
1,"(1866,)",0.0176
1,"(10554,)",0.0135
1,"(7580,)",0.0265
1,"(4491,)",0.0241
1,"(5804,)",0.0199
1,"(744,)",0.0461
1,"(139,)",0.0215
1,"(4538,)",0.0185
1,"(5012,)",0.0165
1,"(7088,)",0.0374
1,"(9937,)",0.0186
1,"(1404,)",0.0106
1,"(1462,)",0.0447
1,"(2290,)",0.0152
1,"(3280,)",0.0175
1,"(2295,)",0.042
1,"(878,)",0.0215
1,"(10720,)",0.0392
1,"(6445,)",0.0322
1,"(269,)",0.0192
1,"(1306,)",0.0122
1,"(3456,)",0.017
1,"(540,)",0.0124
1,"(5407,)",0.024
1,"(263,)",0.0209
1,"(889,)",0.0112
1,"(5717,)",0.0313
1,"(10653,)",0.0109
1,"(1440,)",0.0612
1,"(9818,)",0.0111
1,"(9934,)",0.0254
1,"(6118,)",0.0155
1,"(2865,)",0.0181
1,"(9752,)",0.0396
1,"(1805,)",0.0151
1,"(9461,)",0.0101
1,"(5821,)",0.0282
1,"(1179,)",0.0214
1,"(453,)",0.0299
1,"(872,)",0.0568
1,"(7606,)",0.0208
1,"(5369,)",0.0172
1,"(6250,)",0.0125
1,"(7366,)",0.015
1,"(1465,)",0.0166
1,"(9464,)",0.0347
1,"(3522,)",0.0167
1,"(3287,)",0.0278
1,"(9470,)",0.0307
1,"(3334,)",0.0133
1,"(6243,)",0.0242
1,"(2768,)",0.0189
1,"(3385,)",0.0239
1,"(4296,)",0.027
1,"(5032,)",0.02
1,"(5278,)",0.0502
1,"(4468,)",0.0149
1,"(4409,)",0.0549
1,"(219,)",0.0174
1,"(10531,)",0.0113
1,"(6565,)",0.0101
1,"(3937,)",0.0246
1,"(311,)",0.0243
1,"(10413,)",0.0186
1,"(2158,)",0.0223
1,"(6909,)",0.0369
1,"(10454,)",0.012
1,"(5360,)",0.0141
1,"(3536,)",0.0309
1,"(6181,)",0.017
1,"(3805,)",0.0396
1,"(1357,)",0.028
1,"(5586,)",0.0445
1,"(5874,)",0.0139
1,"(7591,)",0.0741
1,"(480,)",0.0454
1,"(369,)",0.0156
1,"(3702,)",0.0412
1,"(4973,)",0.0499
1,"(5088,)",0.0118
1,"(10756,)",0.011
1,"(6740,)",0.0121
1,"(8184,)",0.0256
1,"(7084,)",0.0299
1,"(3672,)",0.012
1,"(8483,)",0.026
1,"(10407,)",0.013
1,"(7812,)",0.0207
1,"(10046,)",0.0202
1,"(5036,)",0.0116
1,"(6983,)",0.0101
1,"(1299,)",0.0124
1,"(10482,)",0.0299
1,"(10509,)",0.0241
1,"(6901,)",0.0106
1,"(10667,)",0.0291
1,"(10599,)",0.0178
1,"(4558,)",0.0154
1,"(8676,)",0.0131
1,"(5124,)",0.0253
1,"(773,)",0.0102
1,"(9784,)",0.0103
1,"(6910,)",0.0109
1,"(3057,)",0.0118
1,"(6746,)",0.0282
1,"(9773,)",0.0112
1,"(5716,)",0.0122
1,"(9333,)",0.0187
1,"(5817,)",0.0119
1,"(1761,)",0.0236
1,"(5035,)",0.0143
1,"(9943,)",0.0205
1,"(2950,)",0.0274
1,"(2649,)",0.0133
1,"(9655,)",0.021
1,"(9928,)",0.011
1,"(10711,)",0.0117
1,"(2927,)",0.0365
1,"(6721,)",0.015
1,"(2328,)",0.0182
1,"(8888,)",0.0127
1,"(2981,)",0.0157
1,"(3275,)",0.022
1,"(10514,)",0.0213
1,"(5814,)",0.0148
1,"(7263,)",0.0197
1,"(8855,)",0.0124
1,"(455,)",0.011
1,"(742,)",0.0203
1,"(9125,)",0.0158
1,"(10469,)",0.0428
1,"(7098,)",0.0109
1,"(5755,)",0.0424
1,"(6572,)",0.0122
1,"(2911,)",0.0301
1,"(3302,)",0.0153
1,"(152,)",0.0252
1,"(733,)",0.0144
1,"(8285,)",0.0121
1,"(1383,)",0.011
1,"(5257,)",0.013
1,"(1841,)",0.0122
1,"(9546,)",0.0157
1,"(10604,)",0.0129
1,"(8906,)",0.0432
1,"(9433,)",0.0101
1,"(7253,)",0.0232
1,"(8447,)",0.0204
1,"(2952,)",0.0272
1,"(3829,)",0.0127
1,"(10254,)",0.0158
1,"(5413,)",0.0229
1,"(7998,)",0.0116
1,"(8755,)",0.0158
1,"(6838,)",0.0111
1,"(3859,)",0.0148
1,"(7455,)",0.0109
1,"(1870,)",0.0433
1,"(9795,)",0.0134
1,"(9589,)",0.0126
1,"(1460,)",0.0397
1,"(6042,)",0.015
1,"(3571,)",0.0112
1,"(2973,)",0.0128
1,"(5851,)",0.024
1,"(7199,)",0.0116
1,"(10607,)",0.0273
1,"(9763,)",0.0106
1,"(1757,)",0.0137
1,"(6079,)",0.0135
1,"(2364,)",0.0117
1,"(3783,)",0.0129
1,"(5492,)",0.0203
1,"(6776,)",0.0223
1,"(5159,)",0.0194
1,"(4474,)",0.0114
1,"(2876,)",0.0192
1,"(5632,)",0.0113
1,"(892,)",0.0108
1,"(9567,)",0.0194
1,"(5819,)",0.0114
1,"(6429,)",0.0243
1,"(339,)",0.0569
1,"(1510,)",0.0121
1,"(2366,)",0.0161
1,"(786,)",0.0229
1,"(4243,)",0.0137
1,"(4141,)",0.0133
1,"(8574,)",0.0105
1,"(4328,)",0.0146
1,"(10623,)",0.0122
1,"(2948,)",0.0158
1,"(654,)",0.0467
1,"(7636,)",0.0121
1,"(9720,)",0.0308
1,"(1561,)",0.0119
1,"(146,)",0.0119
1,"(7111,)",0.0169
1,"(8724,)",0.0142
1,"(270,)",0.01
1,"(1878,)",0.0128
1,"(3045,)",0.0101
1,"(3093,)",0.0118
1,"(3475,)",0.0141
1,"(2282,)",0.0176
1,"(1441,)",0.0292
1,"(4102,)",0.0105
1,"(1842,)",0.0117
1,"(5312,)",0.0122
1,"(6315,)",0.0213
1,"(10245,)",0.0111
1,"(2552,)",0.0373
1,"(7181,)",0.0161
1,"(4465,)",0.01
1,"(1427,)",0.0385
1,"(4836,)",0.0151
1,"(4885,)",0.0125
1,"(5852,)",0.011
1,"(7346,)",0.0197
1,"(4104,)",0.0293
1,"(6531,)",0.0208
1,"(10784,)",0.0319
1,"(4295,)",0.0154
1,"(9853,)",0.0235
1,"(10484,)",0.0268
1,"(9897,)",0.0106
1,"(9670,)",0.0108
1,"(2954,)",0.0165
1,"(2877,)",0.0136
1,"(7754,)",0.0158
1,"(7666,)",0.0115
2,"(4146, 10789)",0.0139
2,"(3601, 10789)",0.0141
2,"(3274, 9654)",0.013
2,"(3346, 6645)",0.0114
2,"(616, 6999)",0.0119
2,"(5508, 10789)",0.019
2,"(2306, 4209)",0.0244
2,"(10594, 10789)",0.0104
2,"(9652, 10594)",0.0149
2,"(3274, 10789)",0.0108
2,"(1042, 4101)",0.0113
2,"(929, 4101)",0.0102
2,"(4101, 5551)",0.0102
2,"(4101, 5944)",0.0101
2,"(938, 6411)",0.0125
2,"(1042, 5944)",0.0148
2,"(4101, 9777)",0.0111
2,"(9777, 10789)",0.0112
2,"(2816, 8742)",0.0102
2,"(6861, 10594)",0.0147
2,"(5255, 5944)",0.0168
2,"(5508, 6084)",0.0138
2,"(4755, 5944)",0.0109
2,"(571, 9652)",0.0108
2,"(8588, 10789)",0.0112
2,"(3274, 5310)",0.0114
2,"(475, 5278)",0.0101
2,"(2295, 3632)",0.0121
2,"(3601, 5551)",0.011
2,"(6861, 8906)",0.0105
2,"(1042, 4755)",0.0111
2,"(1730, 10789)",0.0102
2,"(684, 6776)",0.0168
2,"(4458, 5310)",0.0117
2,"(3346, 4409)",0.0167
2,"(5310, 5450)",0.012
2,"(3346, 8077)",0.0114
2,"(475, 7806)",0.0114
2,"(2235, 6725)",0.0261
2,"(6725, 7806)",0.0112
2,"(2235, 7806)",0.0263
2,"(7591, 7806)",0.0113
2,"(1088, 7806)",0.0159
2,"(339, 2235)",0.0113
2,"(654, 9617)",0.0105
2,"(5310, 8077)",0.0105
2,"(1440, 7806)",0.0163
2,"(2235, 3274)",0.0105
2,"(1870, 2235)",0.0137
2,"(1440, 6861)",0.0115
2,"(1440, 2235)",0.0114
2,"(654, 7806)",0.0103
2,"(654, 1870)",0.0216
2,"(2235, 7591)",0.01
2,"(2235, 9617)",0.0192
2,"(654, 2235)",0.0182
2,"(7806, 9617)",0.0187
2,"(339, 7806)",0.0103
2,"(1088, 2927)",0.0102
2,"(1088, 2235)",0.014
2,"(6725, 7346)",0.0192
2,"(2235, 7346)",0.0196
2,"(7806, 10738)",0.0109
2,"(2235, 10738)",0.0109
2,"(616, 2235)",0.0124
2,"(665, 1427)",0.0116
2,"(4755, 6084)",0.0104
2,"(5310, 7591)",0.0104
2,"(475, 2235)",0.0106
2,"(3346, 9629)",0.0129
2,"(6531, 10484)",0.0126
2,"(6254, 10514)",0.0119
2,"(2295, 9629)",0.0109
2,"(4101, 6645)",0.0101
2,"(3346, 4458)",0.0167
2,"(3346, 9684)",0.0121
2,"(7022, 10469)",0.0134
2,"(2877, 10469)",0.0125
2,"(3346, 4416)",0.015
2,"(3346, 10469)",0.0149
2,"(3346, 7754)",0.0113
2,"(3346, 7766)",0.0131
2,"(3346, 4755)",0.0139
2,"(3346, 4209)",0.0114
2,"(3346, 4101)",0.0186
2,"(3346, 3601)",0.0143
2,"(3346, 10784)",0.0124
2,"(3346, 7972)",0.0137
2,"(1042, 3346)",0.0224
2,"(3346, 5255)",0.0139
2,"(616, 3346)",0.0153
2,"(3346, 4085)",0.0111
2,"(4409, 10469)",0.0104
2,"(2876, 10469)",0.0153
2,"(2552, 4416)",0.0128
2,"(2552, 3346)",0.0187
2,"(1355, 3346)",0.0117
2,"(3346, 6084)",0.0104
2,"(3346, 10571)",0.0102
2,"(3346, 6909)",0.0142
2,"(1042, 10469)",0.0122
2,"(4409, 4416)",0.0109
2,"(929, 3346)",0.0123
2,"(339, 3346)",0.0102
2,"(3346, 5944)",0.015
3,"(2235, 6725, 7346)",0.0192
