itemset,count,support,k
"('you',)",20801,0.947265358167494,1
"('to',)",20456,0.9315542602122137,1
"('the',)",18779,0.8551846623252425,1
"('and',)",18738,0.8533175463363541,1
"('your',)",17633,0.802996493465094,1
"('a',)",17525,0.7980782367138759,1
"('of',)",16133,0.7346873719203971,1
"('in',)",14662,0.667698893392231,1
"('be',)",13601,0.6193815747529486,1
"('is',)",12474,0.5680586547656997,1
"('that',)",11794,0.5370918529987704,1
"('with',)",10429,0.47493055239309623,1
"('for',)",10188,0.4639555535315816,1
"('You',)",10070,0.4585819026367321,1
"('will',)",9965,0.4538002641286033,1
"('may',)",9860,0.4490186256204745,1
"('are',)",9406,0.4283437314996129,1
"('this',)",8937,0.40698574616330435,1
"('it',)",8935,0.4068946673345781,1
"('have',)",8570,0.39027278109203517,1
"('or',)",7919,0.36062662234163667,1
"('on',)",7728,0.3519285941982786,1
"('at',)",6114,0.2784279794161847,1
"('yourself',)",6099,0.2777448882007377,1
"('but',)",6043,0.2751946809964024,1
"('more',)",6003,0.2733731044218771,1
"('can',)",5994,0.27296324969260893,1
"('The',)",5966,0.2716881460904413,1
"('today',)",5849,0.26636003460995494,1
"('not',)",5654,0.2574798488091443,1
"('time',)",5561,0.25324468327337313,1
"('could',)",5157,0.23484675987066805,1
"('as',)",4818,0.21940889840156655,1
"('all',)",4741,0.21590236349560546,1
"('get',)",4669,0.21262352566146,1
"('what',)",4564,0.2078418871533312,1
"('some',)",4454,0.20283255157338675,1
"('out',)",4416,0.20110205382758778,1
"('work',)",4410,0.20082881734140898,1
"('feel',)",4394,0.20010018671159888,1
"('do',)",4391,0.1999635684685095,1
"('If',)",4386,0.19973587139669383,1
"('so',)",4320,0.19673027004872717,1
"('year',)",4117,0.18748576893301153,1
"('about',)",4107,0.1870303747893802,1
"('if',)",4089,0.18621066533084385,1
"('love',)",4081,0.1858463500159388,1
"('make',)",4061,0.18493556172867617,1
"('Be',)",4027,0.1833872216403297,1
"('good',)",3974,0.18097363267908376,1
"('up',)",3949,0.17983514732000547,1
"('need',)",3864,0.1759642970991393,1
"('from',)",3854,0.175508902955508,1
"('This',)",3686,0.16785828134250194,1
"('people',)",3656,0.166492098911608,1
"('take',)",3611,0.1644428252652671,1
"('Your',)",3606,0.16421512819345144,1
"('energy',)",3557,0.161983696889658,1
"('an',)",3490,0.1589325561273282,1
"(""don't"",)",3456,0.15738421603898173,1
"('way',)",3392,0.15446969351974132,1
"('life',)",3368,0.15337674757502617,1
"('things',)",3333,0.15178286807231658,1
"('by',)",3206,0.14599936244819892,1
"('day',)",3137,0.14285714285714285,1
"('want',)",3048,0.13880413497882418,1
"('new',)",3018,0.13743795254793023,1
"('find',)",2998,0.1365271642606676,1
"('than',)",2980,0.13570745480213126,1
"('into',)",2975,0.1354797577303156,1
"('one',)",2933,0.13356710232706406,1
"('others',)",2880,0.13115351336581813,1
"('August',)",2832,0.12896762147638782,1
"('great',)",2774,0.1263263354433262,1
"('A',)",2747,0.12509677125552165,1
"('might',)",2691,0.1225465640511863,1
"(""Don't"",)",2636,0.12004189626121409,1
"('when',)",2636,0.12004189626121409,1
"('first',)",2626,0.11958650211758277,1
"('April',)",2616,0.11913110797395146,1
"('friends',)",2555,0.11635320369780044,1
"('someone',)",2534,0.1153968759961747,1
"('something',)",2492,0.11348422059292318,1
"('them',)",2441,0.11116171046040348,1
"('go',)",2420,0.11020538275877773,1
"('too',)",2411,0.10979552802950954,1
"('like',)",2361,0.10751855731135297,1
"('just',)",2352,0.1071087025820848,1
"('It',)",2337,0.10642561136663782,1
"('February',)",2208,0.10055102691379389,1
"('how',)",2205,0.10041440867070449,1
"('very',)",2201,0.10023225101325196,1
"('any',)",2191,0.09977685686962065,1
"(""It's"",)",2183,0.0994125415547156,1
"('come',)",2169,0.09877498975363176,1
"('much',)",2168,0.09872945033926864,1
"('especially',)",2164,0.09854729268181611,1
"('other',)",2108,0.09599708547748076,1
"('fun',)",2087,0.09504075777585501,1
"('home',)",2071,0.09431212714604491,1
"('January',)",2064,0.09399335124550298,1
"('well',)",2051,0.09340133885878228,1
"('now',)",2022,0.09208069584225147,1
"('most',)",2018,0.09189853818479894,1
"('November',)",1992,0.09071451341135753,1
"('see',)",1989,0.09057789516826814,1
"('planetary',)",1976,0.08998588278154743,1
"('been',)",1940,0.0883464638644747,1
"('then',)",1888,0.08597841431759187,1
"('help',)",1885,0.08584179607450249,1
"('month',)",1877,0.08547748075959744,1
"(""you're"",)",1867,0.08502208661596612,1
"('best',)",1855,0.08447561364360855,1
"('right',)",1829,0.08329158887016713,1
"('down',)",1829,0.08329158887016713,1
"('even',)",1825,0.08310943121271461,1
"('own',)",1821,0.08292727355526208,1
"('there',)",1813,0.08256295824035703,1
"('know',)",1808,0.08233526116854137,1
"('important',)",1799,0.0819254064392732,1
"('no',)",1789,0.08147001229564188,1
"('mind',)",1757,0.08001275103602168,1
"('There',)",1724,0.07850995036203834,1
"('months',)",1717,0.07819117446149643,1
"('through',)",1714,0.07805455621840703,1
"('they',)",1711,0.07791793797531764,1
"('In',)",1638,0.07459356072680905,1
"('keep',)",1620,0.07377385126827268,1
"('let',)",1609,0.07327291771027825,1
"('current',)",1607,0.07318183888155198,1
"('feeling',)",1602,0.07295414180973633,1
"('little',)",1601,0.0729086023953732,1
"('person',)",1596,0.07268090532355755,1
"('exercise',)",1578,0.07186119586502118,1
"('going',)",1567,0.07136026230702673,1
"('around',)",1567,0.07136026230702673,1
"('enjoy',)",1559,0.07099594699212168,1
"('better',)",1555,0.07081378933466916,1
"('relationship',)",1547,0.0704494740197641,1
"('who',)",1544,0.07031285577667472,1
"('few',)",1519,0.06917437041759643,1
"('try',)",1516,0.06903775217450704,1
"('really',)",1498,0.06821804271597068,1
"('hard',)",1496,0.06812696388724442,1
"('long',)",1473,0.06707955735689239,1
"('off',)",1466,0.06676078145635048,1
"('also',)",1443,0.06571337492599845,1
"('big',)",1439,0.06553121726854592,1
"('should',)",1432,0.06521244136800401,1
"('give',)",1428,0.06503028371055149,1
"('last',)",1411,0.06425611366637825,1
"('has',)",1389,0.06325424655038936,1
"('those',)",1389,0.06325424655038936,1
"('Take',)",1383,0.06298101006421057,1
"('December',)",1380,0.06284439182112118,1
"('likely',)",1356,0.061751445876406026,1
"('heart',)",1350,0.06147820939022724,1
"('change',)",1342,0.06111389407532219,1
"(""it's"",)",1330,0.06056742110296462,1
"('care',)",1318,0.060020948130607044,1
"('health',)",1312,0.059747711644428256,1
"('back',)",1297,0.059064620428981286,1
"('possible',)",1294,0.05892800218589189,1
"(""You're"",)",1286,0.05856368687098684,1
"('would',)",1276,0.05810829272735553,1
"('being',)",1258,0.057288583268819165,1
"('before',)",1252,0.05701534678264038,1
"('bring',)",1235,0.056241176738467145,1
"('two',)",1227,0.055876861423562095,1
"('these',)",1226,0.055831322009198964,1
"('which',)",1225,0.05578578259483583,1
"('family',)",1218,0.05546700669429391,1
"('attention',)",1217,0.05542146727993078,1
"('perhaps',)",1215,0.05533038845120452,1
"('many',)",1211,0.055148230793751994,1
"('think',)",1209,0.05505715196502573,1
"('only',)",1207,0.05496607313629947,1
"('lot',)",1202,0.05473837606448381,1
"('world',)",1201,0.05469283665012068,1
"('end',)",1187,0.05405528484903684,1
"('partner',)",1182,0.053827587777221186,1
"('sense',)",1173,0.053417733047953005,1
"(""Today's"",)",1160,0.0528257206612323,1
"('Today',)",1155,0.05259802358941664,1
"('away',)",1133,0.05159615647342775,1
"('feelings',)",1129,0.05141399881597523,1
"('times',)",1125,0.0512318411585227,1
"('ideas',)",1124,0.05118630174415957,1
"('special',)",1119,0.050958604672343914,1
"('practical',)",1116,0.05082198642925452,1
"('October',)",1116,0.05082198642925452,1
"('needs',)",1107,0.05041213169998634,1
"('situation',)",1097,0.049956737556355026,1
"('loved',)",1096,0.049911198141991894,1
"(""won't"",)",1092,0.04972904048453937,1
"('money',)",1082,0.049273646340908056,1
"('able',)",1081,0.049228106926544925,1
"('both',)",1078,0.04909148868345553,1
"('body',)",1070,0.04872717336855048,1
"('Try',)",1065,0.048499476296734824,1
"('Make',)",1063,0.04840839746800856,1
"('certain',)",1060,0.04827177922491917,1
"('doing',)",1055,0.04804408215310351,1
"('sure',)",1046,0.04763422742383533,1
"('over',)",1045,0.0475886880094722,1
"('opportunity',)",1033,0.04704221503711462,1
"('healthy',)",1032,0.04699667562275149,1
"('their',)",1028,0.046814517965298966,1
"('where',)",1015,0.04622250557857826,1
"('look',)",1015,0.04622250557857826,1
"('anything',)",1013,0.046131426749851996,1
"('rest',)",1012,0.046085887335488865,1
"('while',)",1002,0.04563049319185755,1
"('alignment',)",999,0.04549387494876816,1
"('March',)",984,0.04481078373332119,1
"('aspect',)",978,0.0445375472471424,1
