k,itemset,support
1,10778,0.0267
1,8818,0.0886
1,1346,0.0253
1,5174,0.0348
1,8106,0.0239
1,7377,0.0117
1,1216,0.083
1,10228,0.0305
1,4956,0.0214
1,7858,0.0246
1,6808,0.0172
1,2911,0.0252
1,8616,0.088
1,1858,0.0316
1,10030,0.0236
1,10264,0.0196
1,8769,0.0305
1,7310,0.0109
1,4331,0.0152
1,9679,0.0163
1,6284,0.0276
1,7538,0.0263
1,1040,0.0974
1,2768,0.0159
1,2784,0.0935
1,672,0.012
1,5254,0.0113
1,2233,0.0172
1,9030,0.0252
1,9019,0.0194
1,4806,0.0429
1,6381,0.0731
1,2008,0.042
1,3427,0.063
1,10257,0.0713
1,1742,0.0317
1,10659,0.0709
1,3957,0.0172
1,8801,0.0115
1,2136,0.0277
1,586,0.0121
1,6169,0.0731
1,7800,0.0309
1,9327,0.0511
1,6595,0.0129
1,4083,0.0878
1,3853,0.0335
1,4226,0.0439
1,10061,0.0361
1,10675,0.0335
1,3245,0.0153
1,5287,0.0527
1,6979,0.0904
1,6099,0.0168
1,5908,0.0507
1,3648,0.0155
1,6299,0.0683
1,1595,0.0679
1,4665,0.027
1,7121,0.0209
1,9217,0.0321
1,7401,0.0305
1,3945,0.0573
1,4632,0.0157
1,6185,0.0172
1,4470,0.074
1,8940,0.0157
1,10683,0.01
1,15,0.0179
1,4244,0.0134
1,4078,0.0183
1,148,0.0117
1,5457,0.0709
1,2050,0.0165
1,5363,0.0125
1,5523,0.0292
1,10216,0.0251
1,7316,0.0866
1,6903,0.0128
1,408,0.0286
1,10761,0.0282
1,2030,0.0489
1,5253,0.0144
1,7559,0.0563
1,1654,0.0415
1,7846,0.0221
1,4621,0.0702
1,6938,0.0244
1,3198,0.0376
1,4487,0.0209
1,7398,0.0552
1,8722,0.0188
1,9688,0.0355
1,8192,0.0219
1,10391,0.0483
1,45,0.0756
1,8057,0.0877
1,9564,0.052
1,3300,0.027
1,8622,0.031
1,5638,0.0136
1,6806,0.0553
1,5600,0.0782
1,9488,0.0159
1,10616,0.0157
1,6163,0.0338
1,10807,0.0252
1,7014,0.0184
1,2012,0.0656
1,1946,0.0834
1,8830,0.0534
1,8958,0.0414
1,6232,0.0164
1,5893,0.0445
1,1237,0.094
1,7963,0.0317
1,7115,0.0317
1,3537,0.0285
1,3840,0.0108
1,10214,0.0442
1,4030,0.015
1,1307,0.0141
1,10014,0.0657
1,8290,0.0166
1,9541,0.0961
1,3136,0.0557
1,3726,0.034
1,141,0.0112
1,7894,0.0193
1,953,0.0287
1,1267,0.0375
1,9848,0.0141
1,2570,0.0379
1,1071,0.0211
