ID1,ID2,Similarity
1098,16098,1.0
1098,17838,1.0
1098,19578,1.0
1098,21318,1.0
1099,16099,1.0
1099,17839,1.0
1099,19579,1.0
1099,21319,1.0
1100,16100,1.0
1100,17840,1.0
1100,19580,1.0
1100,21320,1.0
1101,16101,1.0
1101,17841,1.0
1101,19581,1.0
1101,21321,1.0
1102,16102,1.0
1102,17842,1.0
1102,19582,1.0
1102,21322,1.0
1103,16103,1.0
1103,17843,1.0
1103,19583,1.0
1103,21323,1.0
1104,17844,1.0
1104,19584,1.0
1104,21324,1.0
1105,17845,1.0
1105,19585,1.0
1105,21325,1.0
1106,17846,1.0
1106,19586,1.0
1106,21326,1.0
1107,17847,1.0
1107,19587,1.0
1107,21327,1.0
1108,17848,1.0
1108,19588,1.0
1108,21328,1.0
1109,17849,1.0
1109,19589,1.0
1109,21329,1.0
1110,17850,1.0
1110,19590,1.0
1110,21330,1.0
1111,17851,1.0
1111,19591,1.0
1111,21331,1.0
1112,17852,1.0
1112,19592,1.0
1112,21332,1.0
1113,16054,1.0
1113,17794,1.0
1113,17853,1.0
1113,19534,1.0
1113,19593,1.0
1113,21274,1.0
1113,21333,1.0
1114,17854,1.0
1114,19594,1.0
1114,21334,1.0
1115,17855,1.0
1115,19595,1.0
1115,21335,1.0
1116,17856,1.0
1116,19596,1.0
1116,21336,1.0
1117,17857,1.0
1117,19597,1.0
1117,21337,1.0
1118,17858,1.0
1118,19598,1.0
1118,21338,1.0
1119,17859,1.0
1119,19599,1.0
1119,21339,1.0
1120,17860,1.0
1120,19600,1.0
1120,21340,1.0
1121,17861,1.0
1121,19601,1.0
1121,21341,1.0
1122,17862,1.0
1122,19602,1.0
1122,21342,1.0
1123,17863,1.0
1123,19603,1.0
1123,21343,1.0
1124,17864,1.0
1124,19604,1.0
1124,21344,1.0
1125,17865,1.0
1125,19605,1.0
1125,21345,1.0
1126,17866,1.0
1126,19606,1.0
1126,21346,1.0
1127,17867,1.0
1127,19607,1.0
1127,21347,1.0
1128,17868,1.0
1128,19608,1.0
1128,21348,1.0
1129,17869,1.0
1129,19609,1.0
1129,21349,1.0
1130,17870,1.0
1130,19610,1.0
1130,21350,1.0
1131,17871,1.0
1131,19611,1.0
1131,21351,1.0
1132,17872,1.0
1132,19612,1.0
1132,21352,1.0
1133,17873,1.0
1133,19613,1.0
1133,21353,1.0
1134,17874,1.0
1134,19614,1.0
1134,21354,1.0
1135,17875,1.0
1135,19615,1.0
1135,21355,1.0
1136,17876,1.0
1136,19616,1.0
1136,21356,1.0
1137,17877,1.0
1137,19617,1.0
1137,21357,1.0
1138,17878,1.0
1138,19618,1.0
1138,21358,1.0
1139,17879,1.0
1139,19619,1.0
1139,21359,1.0
1140,17880,1.0
1140,19620,1.0
1140,21360,1.0
1141,10530,0.49166666666666664
1141,12270,0.49166666666666664
1141,14010,0.49166666666666664
1141,15750,0.49166666666666664
1141,17881,1.0
1141,19621,1.0
1141,21361,1.0
1142,1172,1.0
1142,17882,1.0
1142,17912,1.0
1142,19622,1.0
1142,19652,1.0
1142,21362,1.0
1142,21392,1.0
1143,17883,1.0
1143,19623,1.0
1143,21363,1.0
1144,1203,1.0
1144,2943,1.0
1144,17884,1.0
1144,19624,1.0
1144,19683,1.0
1144,21364,1.0
1144,21423,1.0
1145,17885,1.0
1145,19625,1.0
1145,21365,1.0
1146,17886,1.0
1146,19626,1.0
1146,21366,1.0
1147,17887,1.0
1147,19627,1.0
1147,21367,1.0
1148,17888,1.0
1148,19628,1.0
1148,21368,1.0
1149,17889,1.0
1149,19629,1.0
1149,21369,1.0
1150,17890,1.0
1150,19630,1.0
1150,21370,1.0
1151,17891,1.0
1151,19631,1.0
1151,21371,1.0
1152,17892,1.0
1152,19632,1.0
1152,21372,1.0
1153,17893,1.0
1153,19633,1.0
1153,21373,1.0
1154,17894,1.0
1154,19634,1.0
1154,21374,1.0
1155,17895,1.0
1155,19635,1.0
1155,21375,1.0
1156,17896,1.0
1156,19636,1.0
1156,21376,1.0
1157,17897,1.0
1157,19637,1.0
1157,21377,1.0
1158,17898,1.0
1158,19638,1.0
1158,21378,1.0
1159,17899,1.0
1159,19639,1.0
1159,21379,1.0
1160,17900,1.0
1160,19640,1.0
1160,21380,1.0
1161,17901,1.0
1161,19641,1.0
1161,21381,1.0
1162,17902,1.0
1162,19642,1.0
1162,21382,1.0
1163,17903,1.0
1163,19643,1.0
1163,21383,1.0
1164,17904,1.0
1164,19644,1.0
1164,21384,1.0
1165,17905,1.0
1165,19645,1.0
1165,21385,1.0
1166,17906,1.0
1166,19646,1.0
1166,21386,1.0
1167,17907,1.0
1167,19647,1.0
1167,21387,1.0
1168,17908,1.0
1168,19648,1.0
1168,21388,1.0
1169,17909,1.0
1169,19649,1.0
1169,21389,1.0
1170,17910,1.0
1170,19650,1.0
1170,21390,1.0
1171,17911,1.0
1171,19651,1.0
1171,21391,1.0
1172,17882,1.0
1172,17912,1.0
1172,19622,1.0
1172,19652,1.0
1172,21362,1.0
1172,21392,1.0
1173,17913,1.0
1173,19653,1.0
1173,21393,1.0
1174,17914,1.0
1174,19654,1.0
1174,21394,1.0
1175,17915,1.0
1175,19655,1.0
1175,21395,1.0
1176,17916,1.0
1176,19656,1.0
1176,21396,1.0
1177,17917,1.0
1177,19657,1.0
1177,21397,1.0
1178,17918,1.0
1178,19658,1.0
1178,21398,1.0
1179,17919,1.0
1179,19659,1.0
1179,21399,1.0
1180,17920,1.0
1180,19660,1.0
1180,21400,1.0
1181,17921,1.0
1181,19661,1.0
1181,21401,1.0
1182,17922,1.0
1182,19662,1.0
1182,21402,1.0
1183,17923,1.0
1183,19663,1.0
1183,21403,1.0
1184,17924,1.0
1184,19664,1.0
1184,21404,1.0
1185,17925,1.0
1185,19665,1.0
1185,21405,1.0
1186,17926,1.0
1186,19666,1.0
1186,21406,1.0
1187,17927,1.0
1187,19667,1.0
1187,21407,1.0
1188,2928,1.0
1188,17928,1.0
1188,19668,1.0
1188,21408,1.0
1189,2929,1.0
1189,17929,1.0
1189,19669,1.0
1189,21409,1.0
1190,2930,1.0
1190,17930,1.0
1190,19670,1.0
1190,21410,1.0
1191,2931,1.0
1191,17931,1.0
1191,19671,1.0
1191,21411,1.0
1192,2932,1.0
1192,17932,1.0
1192,19672,1.0
1192,21412,1.0
1193,2933,1.0
1193,17933,1.0
1193,19673,1.0
1193,21413,1.0
1194,2934,1.0
1194,19674,1.0
1194,21414,1.0
1195,2935,1.0
1195,19675,1.0
1195,21415,1.0
1196,2936,1.0
1196,19676,1.0
1196,21416,1.0
1197,2937,1.0
1197,19677,1.0
1197,21417,1.0
1198,2938,1.0
1198,19678,1.0
1198,21418,1.0
1199,2939,1.0
1199,19679,1.0
1199,21419,1.0
1200,2940,1.0
1200,19680,1.0
1200,21420,1.0
1201,2941,1.0
1201,19681,1.0
1201,21421,1.0
1202,2942,1.0
1202,19682,1.0
1202,21422,1.0
1203,2943,1.0
1203,17884,1.0
1203,19624,1.0
1203,19683,1.0
1203,21364,1.0
1203,21423,1.0
1204,2944,1.0
1204,19684,1.0
1204,21424,1.0
1205,2945,1.0
1205,19685,1.0
1205,21425,1.0
1206,2946,1.0
1206,19686,1.0
1206,21426,1.0
1207,2947,1.0
1207,19687,1.0
1207,21427,1.0
1208,2948,1.0
1208,19688,1.0
1208,21428,1.0
1209,2949,1.0
1209,19689,1.0
1209,21429,1.0
1210,2950,1.0
1210,19690,1.0
1210,21430,1.0
1211,2951,1.0
1211,19691,1.0
1211,21431,1.0
1212,2952,1.0
1212,19692,1.0
1212,21432,1.0
1213,2953,1.0
1213,19693,1.0
1213,21433,1.0
1214,2954,1.0
1214,19694,1.0
1214,21434,1.0
1215,2955,1.0
1215,19695,1.0
1215,21435,1.0
1216,2956,1.0
1216,19696,1.0
1216,21436,1.0
1217,2957,1.0
1217,19697,1.0
1217,21437,1.0
1218,2958,1.0
1218,19698,1.0
1218,21438,1.0
1219,2959,1.0
1219,19699,1.0
1219,21439,1.0
1220,2960,1.0
1220,19700,1.0
1220,21440,1.0
1221,2961,1.0
1221,19701,1.0
1221,21441,1.0
1222,2962,1.0
1222,19702,1.0
1222,21442,1.0
1223,2963,1.0
1223,19703,1.0
1223,21443,1.0
1224,2964,1.0
1224,19704,1.0
1224,21444,1.0
1225,2965,1.0
1225,19705,1.0
1225,21445,1.0
1226,2966,1.0
1226,19706,1.0
1226,21446,1.0
1227,2967,1.0
1227,19707,1.0
1227,21447,1.0
1228,2968,1.0
1228,19708,1.0
1228,21448,1.0
1229,2969,1.0
1229,19709,1.0
1229,21449,1.0
1230,2970,1.0
1230,19710,1.0
1230,21450,1.0
1231,2971,1.0
1231,19711,1.0
1231,21451,1.0
1232,1262,1.0
1232,2972,1.0
1232,3002,1.0
1232,19712,1.0
1232,19742,1.0
1232,21452,1.0
1232,21482,1.0
1233,2973,1.0
1233,19713,1.0
1233,21453,1.0
1234,1293,1.0
1234,2974,1.0
1234,3033,1.0
1234,4773,1.0
1234,19714,1.0
1234,21454,1.0
1234,21513,1.0
1235,2975,1.0
1235,19715,1.0
1235,21455,1.0
1236,2976,1.0
1236,19716,1.0
1236,21456,1.0
1237,2977,1.0
1237,19717,1.0
1237,21457,1.0
1238,2978,1.0
1238,19718,1.0
1238,21458,1.0
1239,2979,1.0
1239,19719,1.0
1239,21459,1.0
1240,2980,1.0
1240,19720,1.0
1240,21460,1.0
1241,2981,1.0
1241,19721,1.0
1241,21461,1.0
1242,2982,1.0
1242,19722,1.0
1242,21462,1.0
1243,2983,1.0
1243,19723,1.0
1243,21463,1.0
1244,2984,1.0
1244,19724,1.0
1244,21464,1.0
1245,2985,1.0
1245,19725,1.0
1245,21465,1.0
1246,2986,1.0
1246,19726,1.0
1246,21466,1.0
1247,2987,1.0
1247,19727,1.0
1247,21467,1.0
1248,2988,1.0
1248,19728,1.0
1248,21468,1.0
1249,2989,1.0
1249,19729,1.0
1249,21469,1.0
1250,2990,1.0
1250,19730,1.0
1250,21470,1.0
1251,2991,1.0
1251,19731,1.0
1251,21471,1.0
1252,2992,1.0
1252,19732,1.0
1252,21472,1.0
1253,2993,1.0
1253,19733,1.0
1253,21473,1.0
1254,2994,1.0
1254,19734,1.0
1254,21474,1.0
1255,2995,1.0
1255,19735,1.0
1255,21475,1.0
1256,2996,1.0
1256,19736,1.0
1256,21476,1.0
1257,2997,1.0
1257,19737,1.0
1257,21477,1.0
1258,2998,1.0
1258,19738,1.0
1258,21478,1.0
1259,2999,1.0
1259,19739,1.0
1259,21479,1.0
1260,3000,1.0
1260,19740,1.0
1260,21480,1.0
1261,3001,1.0
1261,19741,1.0
1261,21481,1.0
1262,2972,1.0
1262,3002,1.0
1262,19712,1.0
1262,19742,1.0
1262,21452,1.0
1262,21482,1.0
1263,3003,1.0
1263,19743,1.0
1263,21483,1.0
1264,3004,1.0
1264,19744,1.0
1264,21484,1.0
1265,3005,1.0
1265,19745,1.0
1265,21485,1.0
1266,3006,1.0
1266,19746,1.0
1266,21486,1.0
1267,3007,1.0
1267,19747,1.0
1267,21487,1.0
1268,3008,1.0
1268,19748,1.0
1268,21488,1.0
1269,3009,1.0
1269,19749,1.0
1269,21489,1.0
1270,3010,1.0
1270,19750,1.0
1270,21490,1.0
1271,3011,1.0
1271,19751,1.0
1271,21491,1.0
1272,3012,1.0
1272,19752,1.0
1272,21492,1.0
1273,3013,1.0
1273,19753,1.0
1273,21493,1.0
1274,3014,1.0
1274,19754,1.0
1274,21494,1.0
1275,3015,1.0
1275,19755,1.0
1275,21495,1.0
1276,3016,1.0
1276,19756,1.0
1276,21496,1.0
1277,3017,1.0
1277,19757,1.0
1277,21497,1.0
1278,3018,1.0
1278,4758,1.0
1278,19758,1.0
1278,21498,1.0
1279,3019,1.0
1279,4759,1.0
1279,19759,1.0
1279,21499,1.0
1280,3020,1.0
1280,4760,1.0
1280,19760,1.0
1280,21500,1.0
1281,3021,1.0
1281,4761,1.0
1281,19761,1.0
1281,21501,1.0
1282,3022,1.0
1282,4762,1.0
1282,19762,1.0
1282,21502,1.0
1283,3023,1.0
1283,4763,1.0
1283,19763,1.0
1283,21503,1.0
1284,3024,1.0
1284,4764,1.0
1284,21504,1.0
1285,3025,1.0
1285,4765,1.0
1285,21505,1.0
1286,3026,1.0
1286,4766,1.0
1286,21506,1.0
1287,3027,1.0
1287,4767,1.0
1287,21507,1.0
1288,3028,1.0
1288,4768,1.0
1288,21508,1.0
1289,3029,1.0
1289,4769,1.0
1289,21509,1.0
1290,3030,1.0
1290,4770,1.0
1290,6901,0.5583333333333333
1290,8641,0.5583333333333333
1290,10381,0.5583333333333333
1290,12121,0.5583333333333333
